feature,threshold,value,n_node_samples,impurity,left_child,right_child
fea_item_monthly_sales_ratio_lag_1_months,0.15811403095722198,-0.09558874309886879,59744,0.07923978145024481,1,30
fea_item_monthly_sales_ratio_lag_3_months,0.06430934742093086,-1.771257842719351,347,1.1441291084944258,2,15
feature_ratio_avg_sales_gift_driven_event_roll_avg_12_months,0.27362069487571716,-2.483972723981648,152,0.8901275795764674,3,8
fea_item_monthly_sales_ratio_lag_7_months,0.3333333358168602,-2.060555382418253,71,0.5092282948139095,4,7
fea_item_monthly_sales_roll_coeffvar_12_months,1.4773525595664978,-2.0978045762892124,70,0.4179903112132406,5,6
leaf,-2.0,-2.3536487199243727,36,0.2598248244320267,-1,-1
leaf,-2.0,-1.8269107771461006,34,0.442769607686023,-1,-1
leaf,-2.0,0.5468881885488919,1,9.89763826453327e-14,-1,-1
fea_item_monthly_sales_ratio_lag_7_months,0.037749288603663445,-2.85511631967302,81,0.9291060580332751,9,12
fea_item_monthly_sales_roll_avg_3_months,54.125,-3.1168675115328233,63,0.6435411375972464,10,11
leaf,-2.0,-2.9151631527446766,53,0.332627069890183,-1,-1
leaf,-2.0,-4.185900613110003,10,0.9329252879000229,-1,-1
fea_item_store_price_avg_1,10.12000036239624,-1.938987148163708,18,0.8494927181289271,13,14
leaf,-2.0,-2.1375804533551914,17,0.18955546241507193,-1,-1
leaf,-2.0,1.4370990400915162,1,5.329070518200751e-15,-1,-1
fea_item_monthly_sales_ratio_lag_8_months,0.18614719063043594,-1.215705730145662,195,0.6375316361230554,16,23
fea_item_monthly_sales_ratio_lag_4_months,0.11269841343164444,-1.4425966975051232,130,0.5013946489019738,17,20
fea_item_monthly_sales_roll_std_6_months,77.69502639770508,-1.8851662903854811,43,0.4348910860387334,18,19
leaf,-2.0,-2.0175254756710457,40,0.2139751117970352,-1,-1
leaf,-2.0,-0.12037715324461125,3,0.03237065829816284,-1,-1
feature_ratio_avg_sales_religious_event_roll_std_3_months,7.871711492538452,-1.223855404472303,87,0.38960822766799486,21,22
leaf,-2.0,-1.3439896061104857,75,0.2737878718998288,-1,-1
leaf,-2.0,-0.47301664423366335,12,0.4595251923220641,-1,-1
fea_item_monthly_sales_ratio_lag_3_months,0.09307359531521797,-0.7619237954267398,65,0.6009285441493835,24,27
feature_ratio_avg_sales_cultural_event_roll_std_6_months,2.0905433893203735,0.009986969207217323,9,1.1700379675894892,25,26
leaf,-2.0,0.856958750497822,5,0.31875578303396446,-1,-1
leaf,-2.0,-1.0487277574060383,4,0.21656232805788944,-1,-1
fea_item_monthly_sales_ratio_lag_8_months,0.3818181902170181,-0.8859808826000543,56,0.3983133677717934,28,29
leaf,-2.0,-1.073771136879354,38,0.310266209103927,-1,-1
leaf,-2.0,-0.4895347902326429,18,0.352572486090189,-1,-1
fea_item_monthly_sales_ratio_lag_3_months,0.33367912471294403,-0.08579940731476814,59397,0.0565191305546882,31,46
fea_item_monthly_sales_ratio_lag_10_months,0.2679487317800522,-0.5111977153198718,1813,0.35914542656169046,32,39
fea_item_monthly_sales_ratio_lag_7_months,0.12347561120986938,-0.8578827861561277,488,0.36367417950879455,33,36
fea_item_monthly_sales_ratio_lag_4_months,0.06831228546798229,-1.384379008188569,69,0.39654884704621685,34,35
leaf,-2.0,-1.9891580721872957,13,0.25750144500273153,-1,-1
leaf,-2.0,-1.2439838683317233,56,0.32420887166686563,-1,-1
fea_item_monthly_sales_ratio_lag_9_months,0.08452381193637848,-0.7711805443417153,419,0.3050947699490971,37,38
leaf,-2.0,-1.5778163002223535,13,0.04429769167549358,-1,-1
leaf,-2.0,-0.7453523058529272,406,0.291944336732635,-1,-1
fea_item_max_days_since_last_sale,14.5,-0.3835129496081008,1325,0.2969076768660909,40,43
fea_item_monthly_sales_roll_coeffvar_3_months,1.7974687218666077,-0.24108274371494742,678,0.2012662807602731,41,42
leaf,-2.0,-0.14571251512961367,323,0.19396950125787363,-1,-1
leaf,-2.0,-0.3278562193010398,355,0.19210008012495322,-1,-1
fea_item_monthly_sales_ratio_lag_9_months,0.40238095819950104,-0.5327674775765053,647,0.35359631463623953,44,45
leaf,-2.0,-0.6361109972301832,421,0.38524117642627476,-1,-1
leaf,-2.0,-0.34025587680571706,226,0.23769171510973097,-1,-1
fea_item_monthly_sales_ratio_lag_1_months,0.5036241412162781,-0.07240597975827369,57584,0.04111418573600196,47,54
fea_item_monthly_sales_ratio_lag_7_months,0.38266584277153015,-0.2601968530770073,2829,0.15733110065861955,48,51
fea_item_monthly_sales_ratio_lag_10_months,0.35758377611637115,-0.4885901927967467,503,0.21970953823746853,49,50
leaf,-2.0,-0.6270952106233671,222,0.21623137532732545,-1,-1
leaf,-2.0,-0.37916629970952254,281,0.19532806407345288,-1,-1
fea_item_monthly_sales_ratio_lag_4_months,0.4027853161096573,-0.21080654788395894,2326,0.1301218774875614,52,53
leaf,-2.0,-0.33608377317297505,610,0.1996371707000313,-1,-1
leaf,-2.0,-0.1662732684980038,1716,0.09784851148611753,-1,-1
fea_item_monthly_sales_1,251.5,-0.0627034798839474,54755,0.0331934833904936,55,58
fea_item_monthly_sales_ratio_lag_7_months,0.4427400529384613,-0.05977700490415183,54340,0.031688057834379085,56,57
leaf,-2.0,-0.176905089243973,2030,0.11475876464913512,-1,-1
leaf,-2.0,-0.0552316022811366,52310,0.02791126866991628,-1,-1
fea_item_monthly_sales_1,330.5,-0.44589540856371207,415,0.0823560871578993,59,60
leaf,-2.0,-0.3647373810001904,311,0.059676329544530005,-1,-1
leaf,-2.0,-0.6885891256046285,104,0.07158050173738234,-1,-1
